variable_1,variable_2,quadratic_coefficient,conflict_type
x_1_10,x_1_32,8.0,shared_nucleotide
x_1_10,x_1_37,8.0,shared_nucleotide
x_1_10,x_1_38,8.0,shared_nucleotide
x_1_10,x_1_39,8.0,shared_nucleotide
x_1_10,x_1_41,8.0,shared_nucleotide
x_1_10,x_1_42,8.0,shared_nucleotide
x_1_10,x_1_43,8.0,shared_nucleotide
x_1_10,x_2_10,8.0,shared_nucleotide
x_1_10,x_2_11,8.0,crossing_pair
x_1_10,x_2_12,8.0,crossing_pair
x_1_10,x_2_14,8.0,crossing_pair
x_1_10,x_2_15,8.0,crossing_pair
x_1_10,x_2_18,8.0,crossing_pair
x_1_10,x_2_19,8.0,crossing_pair
x_1_10,x_2_25,8.0,crossing_pair
x_1_10,x_2_30,8.0,crossing_pair
x_1_10,x_2_32,8.0,crossing_pair
x_1_10,x_2_37,8.0,crossing_pair
x_1_10,x_2_38,8.0,crossing_pair
x_1_10,x_2_39,8.0,crossing_pair
x_1_10,x_2_41,8.0,crossing_pair
x_1_10,x_2_42,8.0,crossing_pair
x_1_10,x_2_43,8.0,crossing_pair
x_1_10,x_3_11,8.0,crossing_pair
x_1_10,x_3_12,8.0,crossing_pair
x_1_10,x_3_14,8.0,crossing_pair
x_1_10,x_3_18,8.0,crossing_pair
x_1_10,x_3_19,8.0,crossing_pair
x_1_10,x_3_30,8.0,crossing_pair
x_1_10,x_3_37,8.0,crossing_pair
x_1_10,x_3_38,8.0,crossing_pair
x_1_10,x_3_39,8.0,crossing_pair
x_1_10,x_3_42,8.0,crossing_pair
x_1_10,x_3_43,8.0,crossing_pair
x_1_10,x_4_10,8.0,shared_nucleotide
x_1_10,x_4_11,8.0,crossing_pair
x_1_10,x_4_12,8.0,crossing_pair
x_1_10,x_4_14,8.0,crossing_pair
x_1_10,x_4_15,8.0,crossing_pair
x_1_10,x_4_18,8.0,crossing_pair
x_1_10,x_4_19,8.0,crossing_pair
x_1_10,x_4_25,8.0,crossing_pair
x_1_10,x_4_30,8.0,crossing_pair
x_1_10,x_4_32,8.0,crossing_pair
x_1_10,x_4_37,8.0,crossing_pair
x_1_10,x_4_38,8.0,crossing_pair
x_1_10,x_4_39,8.0,crossing_pair
x_1_10,x_4_41,8.0,crossing_pair
x_1_10,x_4_42,8.0,crossing_pair
x_1_10,x_4_43,8.0,crossing_pair
x_1_10,x_5_13,8.0,crossing_pair
x_1_10,x_5_16,8.0,crossing_pair
x_1_10,x_5_20,8.0,crossing_pair
x_1_10,x_5_22,8.0,crossing_pair
x_1_10,x_5_34,8.0,crossing_pair
x_1_10,x_5_40,8.0,crossing_pair
x_1_10,x_5_44,8.0,crossing_pair
x_1_10,x_6_11,8.0,crossing_pair
x_1_10,x_6_12,8.0,crossing_pair
x_1_10,x_6_14,8.0,crossing_pair
x_1_10,x_6_18,8.0,crossing_pair
x_1_10,x_6_19,8.0,crossing_pair
x_1_10,x_6_30,8.0,crossing_pair
x_1_10,x_6_37,8.0,crossing_pair
x_1_10,x_6_38,8.0,crossing_pair
x_1_10,x_6_39,8.0,crossing_pair
x_1_10,x_6_42,8.0,crossing_pair
x_1_10,x_6_43,8.0,crossing_pair
x_1_10,x_7_11,8.0,crossing_pair
x_1_10,x_7_12,8.0,crossing_pair
x_1_10,x_7_14,8.0,crossing_pair
x_1_10,x_7_18,8.0,crossing_pair
x_1_10,x_7_19,8.0,crossing_pair
x_1_10,x_7_30,8.0,crossing_pair
x_1_10,x_7_37,8.0,crossing_pair
x_1_10,x_7_38,8.0,crossing_pair
x_1_10,x_7_39,8.0,crossing_pair
x_1_10,x_7_42,8.0,crossing_pair
x_1_10,x_7_43,8.0,crossing_pair
x_1_10,x_8_12,8.0,crossing_pair
x_1_10,x_8_14,8.0,crossing_pair
x_1_10,x_8_18,8.0,crossing_pair
x_1_10,x_8_19,8.0,crossing_pair
x_1_10,x_8_30,8.0,crossing_pair
x_1_10,x_8_37,8.0,crossing_pair
x_1_10,x_8_38,8.0,crossing_pair
x_1_10,x_8_39,8.0,crossing_pair
x_1_10,x_8_42,8.0,crossing_pair
x_1_10,x_8_43,8.0,crossing_pair
x_1_10,x_9_14,8.0,crossing_pair
x_1_10,x_9_18,8.0,crossing_pair
x_1_10,x_9_19,8.0,crossing_pair
x_1_10,x_9_30,8.0,crossing_pair
x_1_10,x_9_37,8.0,crossing_pair
x_1_10,x_9_38,8.0,crossing_pair
x_1_10,x_9_39,8.0,crossing_pair
x_1_10,x_9_42,8.0,crossing_pair
x_1_10,x_9_43,8.0,crossing_pair
x_1_10,x_10_16,8.0,shared_nucleotide
x_1_10,x_10_20,8.0,shared_nucleotide
x_1_10,x_10_22,8.0,shared_nucleotide
x_1_10,x_10_34,8.0,shared_nucleotide
x_1_10,x_10_40,8.0,shared_nucleotide
x_1_10,x_10_44,8.0,shared_nucleotide
x_1_11,x_1_12,8.0,shared_nucleotide
x_1_11,x_1_14,8.0,shared_nucleotide
x_1_11,x_1_15,8.0,shared_nucleotide
x_1_11,x_1_18,8.0,shared_nucleotide
x_1_11,x_1_19,8.0,shared_nucleotide
x_1_11,x_1_25,8.0,shared_nucleotide
x_1_11,x_1_30,8.0,shared_nucleotide
x_1_11,x_1_32,8.0,shared_nucleotide
x_1_11,x_1_37,8.0,shared_nucleotide
x_1_11,x_1_38,8.0,shared_nucleotide
x_1_11,x_1_39,8.0,shared_nucleotide
x_1_11,x_1_41,8.0,shared_nucleotide
x_1_11,x_1_42,8.0,shared_nucleotide
x_1_11,x_1_43,8.0,shared_nucleotide
x_1_11,x_2_11,8.0,shared_nucleotide
x_1_11,x_2_12,8.0,crossing_pair
x_1_11,x_2_14,8.0,crossing_pair
x_1_11,x_2_15,8.0,crossing_pair
x_1_11,x_2_18,8.0,crossing_pair
x_1_11,x_2_19,8.0,crossing_pair
x_1_11,x_2_25,8.0,crossing_pair
x_1_11,x_2_30,8.0,crossing_pair
x_1_11,x_2_32,8.0,crossing_pair
x_1_11,x_2_37,8.0,crossing_pair
x_1_11,x_2_38,8.0,crossing_pair
x_1_11,x_2_39,8.0,crossing_pair
x_1_11,x_2_41,8.0,crossing_pair
x_1_11,x_2_42,8.0,crossing_pair
x_1_11,x_2_43,8.0,crossing_pair
x_1_11,x_3_11,8.0,shared_nucleotide
x_1_11,x_3_12,8.0,crossing_pair
x_1_11,x_3_14,8.0,crossing_pair
x_1_11,x_3_18,8.0,crossing_pair
x_1_11,x_3_19,8.0,crossing_pair
x_1_11,x_3_30,8.0,crossing_pair
x_1_11,x_3_37,8.0,crossing_pair
x_1_11,x_3_38,8.0,crossing_pair
x_1_11,x_3_39,8.0,crossing_pair
x_1_11,x_3_42,8.0,crossing_pair
x_1_11,x_3_43,8.0,crossing_pair
x_1_11,x_4_11,8.0,shared_nucleotide
x_1_11,x_4_12,8.0,crossing_pair
x_1_11,x_4_14,8.0,crossing_pair
x_1_11,x_4_15,8.0,crossing_pair
x_1_11,x_4_18,8.0,crossing_pair
x_1_11,x_4_19,8.0,crossing_pair
x_1_11,x_4_25,8.0,crossing_pair
x_1_11,x_4_30,8.0,crossing_pair
x_1_11,x_4_32,8.0,crossing_pair
x_1_11,x_4_37,8.0,crossing_pair
x_1_11,x_4_38,8.0,crossing_pair
x_1_11,x_4_39,8.0,crossing_pair
x_1_11,x_4_41,8.0,crossing_pair
x_1_11,x_4_42,8.0,crossing_pair
x_1_11,x_4_43,8.0,crossing_pair
x_1_11,x_5_13,8.0,crossing_pair
x_1_11,x_5_16,8.0,crossing_pair
x_1_11,x_5_20,8.0,crossing_pair
x_1_11,x_5_22,8.0,crossing_pair
x_1_11,x_5_34,8.0,crossing_pair
x_1_11,x_5_40,8.0,crossing_pair
x_1_11,x_5_44,8.0,crossing_pair
x_1_11,x_6_11,8.0,shared_nucleotide
x_1_11,x_6_12,8.0,crossing_pair
x_1_11,x_6_14,8.0,crossing_pair
x_1_11,x_6_18,8.0,crossing_pair
x_1_11,x_6_19,8.0,crossing_pair
x_1_11,x_6_30,8.0,crossing_pair
x_1_11,x_6_37,8.0,crossing_pair
x_1_11,x_6_38,8.0,crossing_pair
x_1_11,x_6_39,8.0,crossing_pair
x_1_11,x_6_42,8.0,crossing_pair
x_1_11,x_6_43,8.0,crossing_pair
x_1_11,x_7_11,8.0,shared_nucleotide
x_1_11,x_7_12,8.0,crossing_pair
x_1_11,x_7_14,8.0,crossing_pair
x_1_11,x_7_18,8.0,crossing_pair
x_1_11,x_7_19,8.0,crossing_pair
x_1_11,x_7_30,8.0,crossing_pair
x_1_11,x_7_37,8.0,crossing_pair
x_1_11,x_7_38,8.0,crossing_pair
x_1_11,x_7_39,8.0,crossing_pair
x_1_11,x_7_42,8.0,crossing_pair
x_1_11,x_7_43,8.0,crossing_pair
x_1_11,x_8_12,8.0,crossing_pair
x_1_11,x_8_14,8.0,crossing_pair
x_1_11,x_8_18,8.0,crossing_pair
x_1_11,x_8_19,8.0,crossing_pair
x_1_11,x_8_30,8.0,crossing_pair
x_1_11,x_8_37,8.0,crossing_pair
x_1_11,x_8_38,8.0,crossing_pair
x_1_11,x_8_39,8.0,crossing_pair
x_1_11,x_8_42,8.0,crossing_pair
x_1_11,x_8_43,8.0,crossing_pair
x_1_11,x_9_14,8.0,crossing_pair
x_1_11,x_9_18,8.0,crossing_pair
x_1_11,x_9_19,8.0,crossing_pair
x_1_11,x_9_30,8.0,crossing_pair
x_1_11,x_9_37,8.0,crossing_pair
x_1_11,x_9_38,8.0,crossing_pair
x_1_11,x_9_39,8.0,crossing_pair
x_1_11,x_9_42,8.0,crossing_pair
x_1_11,x_9_43,8.0,crossing_pair
x_1_11,x_10_16,8.0,crossing_pair
x_1_11,x_10_20,8.0,crossing_pair
x_1_11,x_10_22,8.0,crossing_pair
x_1_11,x_10_34,8.0,crossing_pair
x_1_11,x_10_40,8.0,crossing_pair
x_1_11,x_10_44,8.0,crossing_pair
x_1_11,x_11_16,8.0,shared_nucleotide
x_1_11,x_11_17,8.0,shared_nucleotide
x_1_11,x_11_20,8.0,shared_nucleotide
x_1_11,x_11_21,8.0,shared_nucleotide
x_1_11,x_11_22,8.0,shared_nucleotide
x_1_11,x_11_23,8.0,shared_nucleotide
x_1_11,x_11_24,8.0,shared_nucleotide
x_1_11,x_11_26,8.0,shared_nucleotide
x_1_11,x_11_27,8.0,shared_nucleotide
x_1_11,x_11_28,8.0,shared_nucleotide
x_1_11,x_11_29,8.0,shared_nucleotide
x_1_11,x_11_31,8.0,shared_nucleotide
x_1_11,x_11_33,8.0,shared_nucleotide
x_1_11,x_11_34,8.0,shared_nucleotide
x_1_11,x_11_35,8.0,shared_nucleotide
x_1_11,x_11_36,8.0,shared_nucleotide
x_1_11,x_11_40,8.0,shared_nucleotide
x_1_11,x_11_44,8.0,shared_nucleotide
x_1_12,x_1_14,8.0,shared_nucleotide
x_1_12,x_1_15,8.0,shared_nucleotide
x_1_12,x_1_18,8.0,shared_nucleotide
x_1_12,x_1_19,8.0,shared_nucleotide
x_1_12,x_1_25,8.0,shared_nucleotide
x_1_12,x_1_30,8.0,shared_nucleotide
x_1_12,x_1_32,8.0,shared_nucleotide
x_1_12,x_1_37,8.0,shared_nucleotide
x_1_12,x_1_38,8.0,shared_nucleotide
x_1_12,x_1_39,8.0,shared_nucleotide
x_1_12,x_1_41,8.0,shared_nucleotide
x_1_12,x_1_42,8.0,shared_nucleotide
x_1_12,x_1_43,8.0,shared_nucleotide
x_1_12,x_2_12,8.0,shared_nucleotide
x_1_12,x_2_14,8.0,crossing_pair
x_1_12,x_2_15,8.0,crossing_pair
x_1_12,x_2_18,8.0,crossing_pair
x_1_12,x_2_19,8.0,crossing_pair
x_1_12,x_2_25,8.0,crossing_pair
x_1_12,x_2_30,8.0,crossing_pair
x_1_12,x_2_32,8.0,crossing_pair
x_1_12,x_2_37,8.0,crossing_pair
x_1_12,x_2_38,8.0,crossing_pair
x_1_12,x_2_39,8.0,crossing_pair
x_1_12,x_2_41,8.0,crossing_pair
x_1_12,x_2_42,8.0,crossing_pair
x_1_12,x_2_43,8.0,crossing_pair
x_1_12,x_3_12,8.0,shared_nucleotide
x_1_12,x_3_14,8.0,crossing_pair
x_1_12,x_3_18,8.0,crossing_pair
x_1_12,x_3_19,8.0,crossing_pair
x_1_12,x_3_30,8.0,crossing_pair
x_1_12,x_3_37,8.0,crossing_pair
x_1_12,x_3_38,8.0,crossing_pair
x_1_12,x_3_39,8.0,crossing_pair
x_1_12,x_3_42,8.0,crossing_pair
x_1_12,x_3_43,8.0,crossing_pair
x_1_12,x_4_12,8.0,shared_nucleotide
x_1_12,x_4_14,8.0,crossing_pair
x_1_12,x_4_15,8.0,crossing_pair
x_1_12,x_4_18,8.0,crossing_pair
x_1_12,x_4_19,8.0,crossing_pair
x_1_12,x_4_25,8.0,crossing_pair
x_1_12,x_4_30,8.0,crossing_pair
x_1_12,x_4_32,8.0,crossing_pair
x_1_12,x_4_37,8.0,crossing_pair
x_1_12,x_4_38,8.0,crossing_pair
x_1_12,x_4_39,8.0,crossing_pair
x_1_12,x_4_41,8.0,crossing_pair
x_1_12,x_4_42,8.0,crossing_pair
x_1_12,x_4_43,8.0,crossing_pair
x_1_12,x_5_13,8.0,crossing_pair
x_1_12,x_5_16,8.0,crossing_pair
x_1_12,x_5_20,8.0,crossing_pair
x_1_12,x_5_22,8.0,crossing_pair
x_1_12,x_5_34,8.0,crossing_pair
x_1_12,x_5_40,8.0,crossing_pair
x_1_12,x_5_44,8.0,crossing_pair
x_1_12,x_6_12,8.0,shared_nucleotide
x_1_12,x_6_14,8.0,crossing_pair
x_1_12,x_6_18,8.0,crossing_pair
x_1_12,x_6_19,8.0,crossing_pair
x_1_12,x_6_30,8.0,crossing_pair
x_1_12,x_6_37,8.0,crossing_pair
x_1_12,x_6_38,8.0,crossing_pair
x_1_12,x_6_39,8.0,crossing_pair
x_1_12,x_6_42,8.0,crossing_pair
x_1_12,x_6_43,8.0,crossing_pair
x_1_12,x_7_12,8.0,shared_nucleotide
x_1_12,x_7_14,8.0,crossing_pair
x_1_12,x_7_18,8.0,crossing_pair
x_1_12,x_7_19,8.0,crossing_pair
x_1_12,x_7_30,8.0,crossing_pair
x_1_12,x_7_37,8.0,crossing_pair
x_1_12,x_7_38,8.0,crossing_pair
x_1_12,x_7_39,8.0,crossing_pair
x_1_12,x_7_42,8.0,crossing_pair
x_1_12,x_7_43,8.0,crossing_pair
x_1_12,x_8_12,8.0,shared_nucleotide
x_1_12,x_8_14,8.0,crossing_pair
x_1_12,x_8_18,8.0,crossing_pair
x_1_12,x_8_19,8.0,crossing_pair
x_1_12,x_8_30,8.0,crossing_pair
x_1_12,x_8_37,8.0,crossing_pair
x_1_12,x_8_38,8.0,crossing_pair
x_1_12,x_8_39,8.0,crossing_pair
x_1_12,x_8_42,8.0,crossing_pair
x_1_12,x_8_43,8.0,crossing_pair
x_1_12,x_9_14,8.0,crossing_pair
x_1_12,x_9_18,8.0,crossing_pair
x_1_12,x_9_19,8.0,crossing_pair
x_1_12,x_9_30,8.0,crossing_pair
x_1_12,x_9_37,8.0,crossing_pair
x_1_12,x_9_38,8.0,crossing_pair
x_1_12,x_9_39,8.0,crossing_pair
x_1_12,x_9_42,8.0,crossing_pair
x_1_12,x_9_43,8.0,crossing_pair
x_1_12,x_10_16,8.0,crossing_pair
x_1_12,x_10_20,8.0,crossing_pair
x_1_12,x_10_22,8.0,crossing_pair
x_1_12,x_10_34,8.0,crossing_pair
x_1_12,x_10_40,8.0,crossing_pair
x_1_12,x_10_44,8.0,crossing_pair
x_1_12,x_11_16,8.0,crossing_pair
x_1_12,x_11_17,8.0,crossing_pair
x_1_12,x_11_20,8.0,crossing_pair
x_1_12,x_11_21,8.0,crossing_pair
x_1_12,x_11_22,8.0,crossing_pair
x_1_12,x_11_23,8.0,crossing_pair
x_1_12,x_11_24,8.0,crossing_pair
x_1_12,x_11_26,8.0,crossing_pair
x_1_12,x_11_27,8.0,crossing_pair
x_1_12,x_11_28,8.0,crossing_pair
x_1_12,x_11_29,8.0,crossing_pair
x_1_12,x_11_31,8.0,crossing_pair
x_1_12,x_11_33,8.0,crossing_pair
x_1_12,x_11_34,8.0,crossing_pair
x_1_12,x_11_35,8.0,crossing_pair
x_1_12,x_11_36,8.0,crossing_pair
x_1_12,x_11_40,8.0,crossing_pair
x_1_12,x_11_44,8.0,crossing_pair
x_1_12,x_12_16,8.0,shared_nucleotide
x_1_12,x_12_17,8.0,shared_nucleotide
x_1_12,x_12_20,8.0,shared_nucleotide
x_1_12,x_12_21,8.0,shared_nucleotide
x_1_12,x_12_22,8.0,shared_nucleotide
x_1_12,x_12_23,8.0,shared_nucleotide
x_1_12,x_12_24,8.0,shared_nucleotide
x_1_12,x_12_26,8.0,shared_nucleotide
x_1_12,x_12_27,8.0,shared_nucleotide
x_1_12,x_12_28,8.0,shared_nucleotide
x_1_12,x_12_29,8.0,shared_nucleotide
x_1_12,x_12_31,8.0,shared_nucleotide
x_1_12,x_12_33,8.0,shared_nucleotide
x_1_12,x_12_34,8.0,shared_nucleotide
x_1_12,x_12_35,8.0,shared_nucleotide
x_1_12,x_12_36,8.0,shared_nucleotide
x_1_12,x_12_40,8.0,shared_nucleotide
x_1_12,x_12_44,8.0,shared_nucleotide
x_1_14,x_1_15,8.0,shared_nucleotide
x_1_14,x_1_18,8.0,shared_nucleotide
x_1_14,x_1_19,8.0,shared_nucleotide
x_1_14,x_1_25,8.0,shared_nucleotide
x_1_14,x_1_30,8.0,shared_nucleotide
x_1_14,x_1_32,8.0,shared_nucleotide
x_1_14,x_1_37,8.0,shared_nucleotide
x_1_14,x_1_38,8.0,shared_nucleotide
x_1_14,x_1_39,8.0,shared_nucleotide
x_1_14,x_1_41,8.0,shared_nucleotide
x_1_14,x_1_42,8.0,shared_nucleotide
x_1_14,x_1_43,8.0,shared_nucleotide
x_1_14,x_2_14,8.0,shared_nucleotide
x_1_14,x_2_15,8.0,crossing_pair
x_1_14,x_2_18,8.0,crossing_pair
x_1_14,x_2_19,8.0,crossing_pair
x_1_14,x_2_25,8.0,crossing_pair
x_1_14,x_2_30,8.0,crossing_pair
x_1_14,x_2_32,8.0,crossing_pair
x_1_14,x_2_37,8.0,crossing_pair
x_1_14,x_2_38,8.0,crossing_pair
x_1_14,x_2_39,8.0,crossing_pair
x_1_14,x_2_41,8.0,crossing_pair
x_1_14,x_2_42,8.0,crossing_pair
x_1_14,x_2_43,8.0,crossing_pair
x_1_14,x_3_14,8.0,shared_nucleotide
x_1_14,x_3_18,8.0,crossing_pair
x_1_14,x_3_19,8.0,crossing_pair
x_1_14,x_3_30,8.0,crossing_pair
x_1_14,x_3_37,8.0,crossing_pair
x_1_14,x_3_38,8.0,crossing_pair
x_1_14,x_3_39,8.0,crossing_pair
x_1_14,x_3_42,8.0,crossing_pair
x_1_14,x_3_43,8.0,crossing_pair
x_1_14,x_4_14,8.0,shared_nucleotide
x_1_14,x_4_15,8.0,crossing_pair
x_1_14,x_4_18,8.0,crossing_pair
x_1_14,x_4_19,8.0,crossing_pair
x_1_14,x_4_25,8.0,crossing_pair
x_1_14,x_4_30,8.0,crossing_pair
x_1_14,x_4_32,8.0,crossing_pair
x_1_14,x_4_37,8.0,crossing_pair
x_1_14,x_4_38,8.0,crossing_pair
x_1_14,x_4_39,8.0,crossing_pair
x_1_14,x_4_41,8.0,crossing_pair
x_1_14,x_4_42,8.0,crossing_pair
x_1_14,x_4_43,8.0,crossing_pair
x_1_14,x_5_16,8.0,crossing_pair
x_1_14,x_5_20,8.0,crossing_pair
x_1_14,x_5_22,8.0,crossing_pair
x_1_14,x_5_34,8.0,crossing_pair
x_1_14,x_5_40,8.0,crossing_pair
x_1_14,x_5_44,8.0,crossing_pair
x_1_14,x_6_14,8.0,shared_nucleotide
x_1_14,x_6_18,8.0,crossing_pair
x_1_14,x_6_19,8.0,crossing_pair
x_1_14,x_6_30,8.0,crossing_pair
x_1_14,x_6_37,8.0,crossing_pair
x_1_14,x_6_38,8.0,crossing_pair
x_1_14,x_6_39,8.0,crossing_pair
x_1_14,x_6_42,8.0,crossing_pair
x_1_14,x_6_43,8.0,crossing_pair
x_1_14,x_7_14,8.0,shared_nucleotide
x_1_14,x_7_18,8.0,crossing_pair
x_1_14,x_7_19,8.0,crossing_pair
x_1_14,x_7_30,8.0,crossing_pair
x_1_14,x_7_37,8.0,crossing_pair
x_1_14,x_7_38,8.0,crossing_pair
x_1_14,x_7_39,8.0,crossing_pair
x_1_14,x_7_42,8.0,crossing_pair
x_1_14,x_7_43,8.0,crossing_pair
x_1_14,x_8_14,8.0,shared_nucleotide
x_1_14,x_8_18,8.0,crossing_pair
x_1_14,x_8_19,8.0,crossing_pair
x_1_14,x_8_30,8.0,crossing_pair
x_1_14,x_8_37,8.0,crossing_pair
x_1_14,x_8_38,8.0,crossing_pair
x_1_14,x_8_39,8.0,crossing_pair
x_1_14,x_8_42,8.0,crossing_pair
x_1_14,x_8_43,8.0,crossing_pair
x_1_14,x_9_14,8.0,shared_nucleotide
x_1_14,x_9_18,8.0,crossing_pair
x_1_14,x_9_19,8.0,crossing_pair
x_1_14,x_9_30,8.0,crossing_pair
x_1_14,x_9_37,8.0,crossing_pair
x_1_14,x_9_38,8.0,crossing_pair
x_1_14,x_9_39,8.0,crossing_pair
x_1_14,x_9_42,8.0,crossing_pair
x_1_14,x_9_43,8.0,crossing_pair
x_1_14,x_10_16,8.0,crossing_pair
x_1_14,x_10_20,8.0,crossing_pair
x_1_14,x_10_22,8.0,crossing_pair
x_1_14,x_10_34,8.0,crossing_pair
x_1_14,x_10_40,8.0,crossing_pair
x_1_14,x_10_44,8.0,crossing_pair
x_1_14,x_11_16,8.0,crossing_pair
x_1_14,x_11_17,8.0,crossing_pair
x_1_14,x_11_20,8.0,crossing_pair
x_1_14,x_11_21,8.0,crossing_pair
x_1_14,x_11_22,8.0,crossing_pair
x_1_14,x_11_23,8.0,crossing_pair
x_1_14,x_11_24,8.0,crossing_pair
x_1_14,x_11_26,8.0,crossing_pair
x_1_14,x_11_27,8.0,crossing_pair
x_1_14,x_11_28,8.0,crossing_pair
x_1_14,x_11_29,8.0,crossing_pair
x_1_14,x_11_31,8.0,crossing_pair
x_1_14,x_11_33,8.0,crossing_pair
x_1_14,x_11_34,8.0,crossing_pair
x_1_14,x_11_35,8.0,crossing_pair
x_1_14,x_11_36,8.0,crossing_pair
x_1_14,x_11_40,8.0,crossing_pair
x_1_14,x_11_44,8.0,crossing_pair
x_1_14,x_12_16,8.0,crossing_pair
x_1_14,x_12_17,8.0,crossing_pair
x_1_14,x_12_20,8.0,crossing_pair
x_1_14,x_12_21,8.0,crossing_pair
x_1_14,x_12_22,8.0,crossing_pair
x_1_14,x_12_23,8.0,crossing_pair
x_1_14,x_12_24,8.0,crossing_pair
x_1_14,x_12_26,8.0,crossing_pair
x_1_14,x_12_27,8.0,crossing_pair
x_1_14,x_12_28,8.0,crossing_pair
x_1_14,x_12_29,8.0,crossing_pair
x_1_14,x_12_31,8.0,crossing_pair
x_1_14,x_12_33,8.0,crossing_pair
x_1_14,x_12_34,8.0,crossing_pair
x_1_14,x_12_35,8.0,crossing_pair
x_1_14,x_12_36,8.0,crossing_pair
x_1_14,x_12_40,8.0,crossing_pair
x_1_14,x_12_44,8.0,crossing_pair
x_1_14,x_13_18,8.0,crossing_pair
x_1_14,x_13_19,8.0,crossing_pair
x_1_14,x_13_25,8.0,crossing_pair
x_1_14,x_13_30,8.0,crossing_pair
x_1_14,x_13_32,8.0,crossing_pair
x_1_14,x_13_37,8.0,crossing_pair
x_1_14,x_13_38,8.0,crossing_pair
x_1_14,x_13_39,8.0,crossing_pair
x_1_14,x_13_41,8.0,crossing_pair
x_1_14,x_13_42,8.0,crossing_pair
x_1_14,x_13_43,8.0,crossing_pair
x_1_14,x_14_20,8.0,shared_nucleotide
x_1_14,x_14_21,8.0,shared_nucleotide
x_1_14,x_14_22,8.0,shared_nucleotide
x_1_14,x_14_23,8.0,shared_nucleotide
x_1_14,x_14_24,8.0,shared_nucleotide
x_1_14,x_14_26,8.0,shared_nucleotide
x_1_14,x_14_27,8.0,shared_nucleotide
